Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,Virginia Tech,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Virginia Tech,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Virginia Tech,None,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Syracuse University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,None,2,0.667
What social platform has influenced your online shopping most?,University,Cypress Creek High School,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Cypress Creek High School,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Cypress Creek High School,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Cypress Creek High School,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Cypress Creek High School,None,0,0.0
What social platform has influenced your online shopping most?,University,Union High School,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Union High School,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Union High School,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Union High School,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Union High School,None,1,1.0
What social platform has influenced your online shopping most?,University,College of William and Mary,Facebook,25,0.287
What social platform has influenced your online shopping most?,University,College of William and Mary,Instagram,25,0.287
What social platform has influenced your online shopping most?,University,College of William and Mary,Snapchat,5,0.057
What social platform has influenced your online shopping most?,University,College of William and Mary,Twitter,2,0.023
What social platform has influenced your online shopping most?,University,College of William and Mary,None,30,0.345
What social platform has influenced your online shopping most?,University,Ohio State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Ohio State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Ohio State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Ohio State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Ohio State University,None,4,1.0
What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Snapchat,1,1.0
What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Gulf Breeze High School,None,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,None,2,1.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Texas,Facebook,13,0.342
What social platform has influenced your online shopping most?,University,University of Texas,Instagram,11,0.289
What social platform has influenced your online shopping most?,University,University of Texas,Snapchat,1,0.026
What social platform has influenced your online shopping most?,University,University of Texas,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Texas,None,13,0.342
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,None,2,1.0
What social platform has influenced your online shopping most?,University,University of Arizona,Facebook,8,0.157
What social platform has influenced your online shopping most?,University,University of Arizona,Instagram,27,0.529
What social platform has influenced your online shopping most?,University,University of Arizona,Snapchat,2,0.039
What social platform has influenced your online shopping most?,University,University of Arizona,Twitter,5,0.098
What social platform has influenced your online shopping most?,University,University of Arizona,None,9,0.176
What social platform has influenced your online shopping most?,University,Coventry University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Coventry University,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,Coventry University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Coventry University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Coventry University,None,0,0.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Snapchat,2,0.667
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,None,1,0.333
What social platform has influenced your online shopping most?,University,Colgate University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Colgate University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Colgate University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Colgate University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Colgate University,None,2,1.0
What social platform has influenced your online shopping most?,University,Northwestern University,Facebook,30,0.261
What social platform has influenced your online shopping most?,University,Northwestern University,Instagram,47,0.409
What social platform has influenced your online shopping most?,University,Northwestern University,Snapchat,4,0.035
What social platform has influenced your online shopping most?,University,Northwestern University,Twitter,4,0.035
What social platform has influenced your online shopping most?,University,Northwestern University,None,30,0.261
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Michigan,Facebook,12,0.231
What social platform has influenced your online shopping most?,University,University of Michigan,Instagram,16,0.308
What social platform has influenced your online shopping most?,University,University of Michigan,Snapchat,1,0.019
What social platform has influenced your online shopping most?,University,University of Michigan,Twitter,2,0.038
What social platform has influenced your online shopping most?,University,University of Michigan,None,21,0.404
What social platform has influenced your online shopping most?,University,Boise State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Boise State University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Boise State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Boise State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Boise State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Cornell University,Facebook,35,0.287
What social platform has influenced your online shopping most?,University,Cornell University,Instagram,44,0.361
What social platform has influenced your online shopping most?,University,Cornell University,Snapchat,4,0.033
What social platform has influenced your online shopping most?,University,Cornell University,Twitter,1,0.008
What social platform has influenced your online shopping most?,University,Cornell University,None,38,0.311
What social platform has influenced your online shopping most?,University,University of New Hampshire,Facebook,3,0.429
What social platform has influenced your online shopping most?,University,University of New Hampshire,Instagram,2,0.286
What social platform has influenced your online shopping most?,University,University of New Hampshire,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of New Hampshire,Twitter,1,0.143
What social platform has influenced your online shopping most?,University,University of New Hampshire,None,1,0.143
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,None,2,1.0
What social platform has influenced your online shopping most?,University,High Point University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,High Point University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,High Point University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,High Point University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,High Point University,None,2,1.0
What social platform has influenced your online shopping most?,University,University of Minnesota,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Minnesota,Instagram,2,0.5
What social platform has influenced your online shopping most?,University,University of Minnesota,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Minnesota,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Minnesota,None,2,0.5
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Facebook,14,0.187
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Instagram,32,0.427
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Snapchat,1,0.013
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Twitter,5,0.067
What social platform has influenced your online shopping most?,University,Claremont McKenna College,None,23,0.307
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,None,0,0.0
What social platform has influenced your online shopping most?,University,Illinois State,Facebook,3,0.25
What social platform has influenced your online shopping most?,University,Illinois State,Instagram,1,0.083
What social platform has influenced your online shopping most?,University,Illinois State,Snapchat,1,0.083
What social platform has influenced your online shopping most?,University,Illinois State,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Illinois State,None,7,0.583
What social platform has influenced your online shopping most?,University,University of Guelph,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Guelph,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Guelph,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Guelph,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Guelph,None,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,Queens University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,None,1,0.5
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,None,2,0.667
What social platform has influenced your online shopping most?,University,University of Virginia,Facebook,64,0.25
What social platform has influenced your online shopping most?,University,University of Virginia,Instagram,75,0.293
What social platform has influenced your online shopping most?,University,University of Virginia,Snapchat,10,0.039
What social platform has influenced your online shopping most?,University,University of Virginia,Twitter,12,0.047
What social platform has influenced your online shopping most?,University,University of Virginia,None,95,0.371
What social platform has influenced your online shopping most?,University,Villanova University,Facebook,2,1.0
What social platform has influenced your online shopping most?,University,Villanova University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Villanova University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Villanova University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Villanova University,None,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,None,2,1.0
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Facebook,3,0.25
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Instagram,1,0.083
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Twitter,1,0.083
What social platform has influenced your online shopping most?,University,Johns Hopkins University,None,7,0.583
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Facebook,26,0.252
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Instagram,35,0.34
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Snapchat,1,0.01
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Twitter,7,0.068
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,None,34,0.33
What social platform has influenced your online shopping most?,University,Dartmouth College,Facebook,7,0.412
What social platform has influenced your online shopping most?,University,Dartmouth College,Instagram,1,0.059
What social platform has influenced your online shopping most?,University,Dartmouth College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Dartmouth College,Twitter,1,0.059
What social platform has influenced your online shopping most?,University,Dartmouth College,None,8,0.471
What social platform has influenced your online shopping most?,University,Purdue University,Facebook,1,0.059
What social platform has influenced your online shopping most?,University,Purdue University,Instagram,2,0.118
What social platform has influenced your online shopping most?,University,Purdue University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Purdue University,Twitter,1,0.059
What social platform has influenced your online shopping most?,University,Purdue University,None,13,0.765
What social platform has influenced your online shopping most?,University,San Diego State University,Facebook,24,0.142
What social platform has influenced your online shopping most?,University,San Diego State University,Instagram,84,0.497
What social platform has influenced your online shopping most?,University,San Diego State University,Snapchat,4,0.024
What social platform has influenced your online shopping most?,University,San Diego State University,Twitter,13,0.077
What social platform has influenced your online shopping most?,University,San Diego State University,None,44,0.26
What social platform has influenced your online shopping most?,University,Michigan State University,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Michigan State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Michigan State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Michigan State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Michigan State University,None,1,0.5
What social platform has influenced your online shopping most?,University,Butler University,Facebook,9,0.273
What social platform has influenced your online shopping most?,University,Butler University,Instagram,13,0.394
What social platform has influenced your online shopping most?,University,Butler University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Butler University,Twitter,5,0.152
What social platform has influenced your online shopping most?,University,Butler University,None,6,0.182
What social platform has influenced your online shopping most?,University,Indiana University,Facebook,18,0.225
What social platform has influenced your online shopping most?,University,Indiana University,Instagram,24,0.3
What social platform has influenced your online shopping most?,University,Indiana University,Snapchat,4,0.05
What social platform has influenced your online shopping most?,University,Indiana University,Twitter,10,0.125
What social platform has influenced your online shopping most?,University,Indiana University,None,24,0.3
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Facebook,12,0.3
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Instagram,11,0.275
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Snapchat,1,0.025
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Twitter,1,0.025
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",None,15,0.375
What social platform has influenced your online shopping most?,University,University of Missouri,Facebook,4,0.167
What social platform has influenced your online shopping most?,University,University of Missouri,Instagram,3,0.125
What social platform has influenced your online shopping most?,University,University of Missouri,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Missouri,Twitter,4,0.167
What social platform has influenced your online shopping most?,University,University of Missouri,None,13,0.542
What social platform has influenced your online shopping most?,University,Texas Christian University,Facebook,5,0.217
What social platform has influenced your online shopping most?,University,Texas Christian University,Instagram,8,0.348
What social platform has influenced your online shopping most?,University,Texas Christian University,Snapchat,1,0.043
What social platform has influenced your online shopping most?,University,Texas Christian University,Twitter,3,0.13
What social platform has influenced your online shopping most?,University,Texas Christian University,None,6,0.261
What social platform has influenced your online shopping most?,University,Truman State University,Facebook,18,0.36
What social platform has influenced your online shopping most?,University,Truman State University,Instagram,15,0.3
What social platform has influenced your online shopping most?,University,Truman State University,Snapchat,1,0.02
What social platform has influenced your online shopping most?,University,Truman State University,Twitter,2,0.04
What social platform has influenced your online shopping most?,University,Truman State University,None,14,0.28
What social platform has influenced your online shopping most?,University,University of Illinois,Facebook,18,0.209
What social platform has influenced your online shopping most?,University,University of Illinois,Instagram,24,0.279
What social platform has influenced your online shopping most?,University,University of Illinois,Snapchat,3,0.035
What social platform has influenced your online shopping most?,University,University of Illinois,Twitter,7,0.081
What social platform has influenced your online shopping most?,University,University of Illinois,None,34,0.395
What social platform has influenced your online shopping most?,University,University of Washington,Facebook,12,0.245
What social platform has influenced your online shopping most?,University,University of Washington,Instagram,19,0.388
What social platform has influenced your online shopping most?,University,University of Washington,Snapchat,1,0.02
What social platform has influenced your online shopping most?,University,University of Washington,Twitter,2,0.041
What social platform has influenced your online shopping most?,University,University of Washington,None,15,0.306
What social platform has influenced your online shopping most?,University,University of North Carolina,Facebook,14,0.241
What social platform has influenced your online shopping most?,University,University of North Carolina,Instagram,16,0.276
What social platform has influenced your online shopping most?,University,University of North Carolina,Snapchat,2,0.034
What social platform has influenced your online shopping most?,University,University of North Carolina,Twitter,5,0.086
What social platform has influenced your online shopping most?,University,University of North Carolina,None,21,0.362
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Facebook,4,0.222
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Instagram,7,0.389
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Twitter,2,0.111
What social platform has influenced your online shopping most?,University,Miami University (Ohio),None,5,0.278
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Facebook,1,1.0
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Instagram,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Twitter,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",None,0,0.0
What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Wilfred Laurier University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of California Riverside,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of California Riverside,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of California Riverside,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of California Riverside,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of California Riverside,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Iowa,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Iowa,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Iowa,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Iowa,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,University of Iowa,None,0,0.0
What social platform has influenced your online shopping most?,University,University of California Irvine,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of California Irvine,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,University of California Irvine,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of California Irvine,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of California Irvine,None,1,0.5
What social platform has influenced your online shopping most?,University,"University of California, Davis",Facebook,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Davis",Instagram,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Davis",Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Davis",Twitter,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Davis",None,2,1.0
What social platform has influenced your online shopping most?,University,University of Waterloo,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Waterloo,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,University of Waterloo,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Waterloo,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Waterloo,None,1,0.5
What social platform has influenced your online shopping most?,University,Grand Valley State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Grand Valley State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Grand Valley State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Grand Valley State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Grand Valley State University,None,1,1.0
What social platform has influenced your online shopping most?,University,Baylor University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Baylor University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Baylor University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Baylor University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Baylor University,None,1,1.0
What social platform has influenced your online shopping most?,University,Southern Methodist University,Facebook,3,0.214
What social platform has influenced your online shopping most?,University,Southern Methodist University,Instagram,3,0.214
What social platform has influenced your online shopping most?,University,Southern Methodist University,Snapchat,1,0.071
What social platform has influenced your online shopping most?,University,Southern Methodist University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Southern Methodist University,None,7,0.5
What social platform has influenced your online shopping most?,University,Blinn College,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Blinn College,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Blinn College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Blinn College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Blinn College,None,0,0.0
What social platform has influenced your online shopping most?,University,Texas A&M University,Facebook,7,0.2
What social platform has influenced your online shopping most?,University,Texas A&M University,Instagram,11,0.314
What social platform has influenced your online shopping most?,University,Texas A&M University,Snapchat,4,0.114
What social platform has influenced your online shopping most?,University,Texas A&M University,Twitter,3,0.086
What social platform has influenced your online shopping most?,University,Texas A&M University,None,10,0.286
What social platform has influenced your online shopping most?,University,Wellesley College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Wellesley College,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Wellesley College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Wellesley College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Wellesley College,None,1,1.0
What social platform has influenced your online shopping most?,University,Central Washington University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Central Washington University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Central Washington University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Central Washington University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Central Washington University,None,0,0.0
What social platform has influenced your online shopping most?,University,Stellenbosch University,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Stellenbosch University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Stellenbosch University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Stellenbosch University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Stellenbosch University,None,1,0.5
What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,None,1,1.0
What social platform has influenced your online shopping most?,University,Kennesaw State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Kennesaw State University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Kennesaw State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Kennesaw State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Kennesaw State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Newcastle University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Newcastle University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Newcastle University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Newcastle University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Newcastle University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of West Georgia ,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,University of West Georgia ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of West Georgia ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of West Georgia ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of West Georgia ,None,0,0.0
What social platform has influenced your online shopping most?,University,Azusa Pacific University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Azusa Pacific University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Azusa Pacific University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Azusa Pacific University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Azusa Pacific University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Connecticut,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,University of Connecticut,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Connecticut,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Connecticut,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Connecticut,None,0,0.0
What social platform has influenced your online shopping most?,University,Boston University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Boston University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Boston University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Boston University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Boston University,None,0,0.0
What social platform has influenced your online shopping most?,University,Colorado State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Colorado State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Colorado State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Colorado State University,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Colorado State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Clemson University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Clemson University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Clemson University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Clemson University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Clemson University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Rochester,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Rochester,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Rochester,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Rochester,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Rochester,None,0,0.0
What social platform has influenced your online shopping most?,University,James Madison University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,James Madison University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,James Madison University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,James Madison University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,James Madison University,None,1,1.0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,None,1,1.0
What social platform has influenced your online shopping most?,University,Loyola University Maryland,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Loyola University Maryland,Instagram,0,0.0
